iter	RMSE
0	1.051334978
1	0.9890472795
2	0.9317210089
3	0.8763519398
4	0.8249246434
5	0.7776436738
6	0.7347804988
7	0.6956144294
8	0.660517459
9	0.6253891751
10	0.5931006791
11	0.5642284706
12	0.5356113571
13	0.5105660855
14	0.4884748482
15	0.4671168677
16	0.4478848397
17	0.4296149243
18	0.413735745
19	0.399569813
20	0.3853125141
21	0.3719961665
22	0.3602631359
23	0.3491099607
24	0.3389132331
25	0.3278212087
26	0.3192203418
27	0.3099452965
28	0.3031044268
29	0.2966655989
30	0.2907926789
31	0.2848544125
32	0.2800153624
33	0.2756946773
34	0.2707617522
35	0.2663123124
36	0.2625286465
37	0.2588433383
38	0.255213776
39	0.2526186722
40	0.249279682
41	0.2469721455
42	0.2440020935
43	0.2402531827
44	0.2381784901
45	0.2350255846
46	0.2320833887
47	0.2285935181
48	0.2259987659
49	0.2237176704
50	0.2219469251
51	0.2204400924
52	0.2185815716
53	0.2168975088
54	0.2154130689
55	0.2142406014
56	0.2132276999
57	0.211605364
58	0.2108402127
59	0.2095834758
60	0.2079364083
61	0.2071043315
62	0.205881989
63	0.2047789797
64	0.2038208201
65	0.2027571744
66	0.2015779518
67	0.2008072561
68	0.1996244527
69	0.1977384449
70	0.1969311047
71	0.1957896561
72	0.1948269391
73	0.1941148541
74	0.1935013411
75	0.192794564
76	0.1921089069
77	0.1914261387
78	0.1908388289
79	0.1901484104
80	0.1895039467
81	0.1890410986
82	0.1882125412
83	0.1876504245
84	0.1869799058
85	0.1863050219
86	0.1853892872
87	0.1849016136
88	0.1840502272
89	0.1835072333
90	0.1831435429
91	0.1821999914
92	0.1816218892
93	0.1811852649
94	0.1808799359
95	0.1805138836
96	0.180155266
97	0.1793157917
98	0.1788248953
99	0.1781313719
100	0.1774494015
101	0.1770741827
102	0.1766824138
103	0.1761027861
104	0.1755187417
105	0.1750418879
106	0.174726038
107	0.1739640373
108	0.1736212076
109	0.1733430687
110	0.1728140116
111	0.1723235296
112	0.1719488326
113	0.1715222582
114	0.1712521204
115	0.1707399658
116	0.1706446563
117	0.1702323765
118	0.1700808247
119	0.1697864213
120	0.1693973211
121	0.1690951495
122	0.1689287849
123	0.1687402932
124	0.1682633331
125	0.1680433478
126	0.1679106071
127	0.1677125182
128	0.1675679503
129	0.1673280493
130	0.1670187323
131	0.1667095335
132	0.1665133065
133	0.1662256894
134	0.1660540074
135	0.1658887278
136	0.1654967543
137	0.1652223313
138	0.1649518216
139	0.1648179011
140	0.1645701906
141	0.1643546359
142	0.1639824238
143	0.1638328482
144	0.163674697
145	0.1634598498
146	0.1631421542
147	0.1630406488
148	0.1629575108
149	0.1627505417
150	0.162477431
151	0.1623699688
152	0.1622787298
153	0.162162713
154	0.1619960447
155	0.1618503262
156	0.1616864168
157	0.1615941915
158	0.1613974147
159	0.161324341
160	0.1612442884
161	0.1611798085
162	0.1609823256
163	0.1609073393
164	0.1607609561
165	0.1606212285
166	0.1604291781
167	0.160375481
168	0.160259171
169	0.1601463084
170	0.1601006549
171	0.1599918585
172	0.1599364527
173	0.1598104778
174	0.1596920519
175	0.1595887399
176	0.1595476083
177	0.1594385243
178	0.1593602279
179	0.1592385845
180	0.1591456523
181	0.1590762982
182	0.1589421951
183	0.1588660163
184	0.158773618
185	0.1587295538
186	0.1586270515
187	0.1585736364
188	0.1585196127
189	0.1583868042
190	0.1583011812
191	0.1582134171
192	0.1581456557
193	0.1580882364
194	0.1580506934
195	0.1579765867
196	0.1578624676
197	0.1578325884
198	0.1578005698
199	0.1577467748
200	0.1577160412
201	0.1576891157
202	0.1576401733
203	0.1576109633
204	0.157560843
205	0.1574599923
206	0.157396346
207	0.1573647834
208	0.1572337957
209	0.1571195572
210	0.1570632269
211	0.1570246714
212	0.1569991652
213	0.1569160913
214	0.1568231625
215	0.1567665212
216	0.1567222686
217	0.1566779634
218	0.1566402926
219	0.1565705102
220	0.1565025172
221	0.1564429294
222	0.156395141
223	0.1563541714
224	0.1563165128
225	0.1562323027
226	0.1561976332
227	0.1561245923
228	0.1561114149
229	0.156077109
230	0.1560474198
231	0.1560217972
232	0.1559994665
233	0.1559629221
234	0.1559326998
235	0.1559068153
236	0.1558754372
237	0.1558561951
238	0.1558292066
239	0.155781916
240	0.15576252
241	0.155742528
242	0.1557220432
243	0.1557002888
244	0.1556839311
245	0.1556118672
246	0.155573658
247	0.1555403848
248	0.1555211621
249	0.1554950716
250	0.1554757288
251	0.1554588569
252	0.1554380186
253	0.1554180568
254	0.155370008
255	0.1553521741
256	0.1553377251
257	0.1553046401
258	0.1552911503
259	0.1552623665
260	0.1552469358
261	0.1552058132
262	0.1551919669
263	0.1551557639
264	0.155140093
265	0.1551286139
266	0.1551030386
267	0.1550905138
268	0.1550803749
269	0.1550707164
270	0.1550488399
271	0.1550399492
272	0.1550172912
273	0.1549937088
274	0.1549752843
275	0.1549624368
276	0.1549531023
277	0.1549347916
278	0.1549227697
279	0.1549096566
280	0.1548822821
281	0.1548741147
282	0.1548627697
283	0.1548384027
284	0.1548257687
285	0.1548123327
286	0.1548066291
287	0.1547927705
288	0.1547916607
289	0.1547825116
290	0.1547739875
291	0.1547682507
292	0.154753086
293	0.1547463232
294	0.1547349986
295	0.1547202553
296	0.1547142464
297	0.1547015465
298	0.1546794687
299	0.1546698179
300	0.1546467437
301	0.1546351314
302	0.1546248881
303	0.154616194
304	0.1546083838
305	0.1545903936
306	0.1545828819
307	0.1545788437
308	0.1545684091
309	0.1545576766
310	0.1545484254
311	0.1545420197
312	0.1545319709
313	0.1545313794
314	0.1545237513
315	0.1545232489
316	0.1545121298
317	0.1545047296
318	0.15449709
319	0.1544937103
320	0.1544906682
321	0.1544842615
322	0.1544812856
323	0.1544702262
324	0.1544477147
325	0.1544399614
326	0.1544347581
327	0.1544274665
328	0.1544145556
329	0.1544141447
330	0.1544091534
331	0.1544008872
332	0.1543959428
333	0.1543874858
334	0.1543817414
335	0.1543792324
336	0.1543776566
337	0.1543718541
338	0.1543580357
339	0.1543535989
340	0.1543502922
341	0.1543460582
342	0.154337239
343	0.1543315633
344	0.154327163
345	0.1543209771
346	0.1543165489
347	0.1543152657
348	0.1543112712
349	0.1543109324
350	0.154306097
351	0.1543045991
352	0.1542980525
353	0.1542955116
354	0.1542837708
355	0.1542773107
356	0.1542729746
357	0.1542689096
358	0.1542653497
359	0.1542640903
