iter	Passed	Remaining
0	3	3816
1	7	3852
2	11	3744
3	15	3834
4	19	3814
5	23	3812
6	26	3800
7	31	3845
8	35	3914
9	39	3896
10	43	3884
11	47	3881
12	51	3879
13	54	3849
14	58	3828
15	62	3830
16	66	3828
17	69	3810
18	73	3805
19	77	3804
20	81	3798
21	85	3797
22	89	3816
23	93	3821
24	97	3812
25	101	3812
26	105	3800
27	110	3821
28	113	3812
29	117	3806
30	121	3797
31	125	3802
32	129	3794
33	133	3788
34	137	3791
35	141	3793
36	145	3792
37	149	3784
38	153	3786
39	157	3790
40	161	3788
41	165	3785
42	187	4173
43	198	4319
44	208	4434
45	220	4583
46	230	4676
47	234	4656
48	240	4660
49	245	4656
50	258	4818
51	264	4814
52	271	4848
53	275	4826
54	279	4796
55	284	4792
56	288	4766
57	292	4745
58	295	4718
59	299	4697
60	303	4678
61	307	4658
62	311	4637
63	315	4620
64	319	4599
65	323	4579
66	327	4559
67	331	4547
68	335	4527
69	339	4513
70	343	4496
71	347	4479
72	351	4463
73	355	4444
74	358	4425
75	362	4409
76	366	4395
77	370	4383
78	374	4364
79	378	4351
80	382	4339
81	386	4328
82	390	4315
83	394	4304
84	399	4295
85	403	4283
86	406	4270
87	411	4262
88	415	4249
89	418	4235
90	422	4220
91	427	4217
92	431	4206
93	435	4194
94	438	4181
95	443	4174
96	447	4162
97	451	4151
98	455	4142
99	460	4147
100	464	4138
101	469	4129
102	475	4138
103	479	4130
104	483	4119
105	487	4114
106	492	4109
107	496	4098
108	500	4094
109	505	4087
110	509	4078
111	514	4080
112	524	4118
113	529	4118
114	534	4114
115	539	4112
116	543	4102
117	548	4096
118	552	4093
119	557	4088
120	561	4082
121	566	4077
122	571	4073
123	574	4061
124	579	4053
125	582	4043
126	586	4033
127	591	4026
128	594	4016
129	598	4008
130	602	3998
131	606	3989
132	610	3979
133	614	3970
134	618	3962
135	623	3957
136	626	3948
137	630	3940
138	634	3932
139	638	3922
140	642	3914
141	646	3906
142	650	3899
143	654	3890
144	658	3881
145	662	3876
146	667	3870
147	671	3862
148	674	3853
149	678	3847
150	684	3851
151	689	3844
152	693	3837
153	696	3828
154	700	3821
155	704	3813
156	709	3807
157	713	3801
158	717	3793
159	720	3784
160	724	3776
161	728	3769
162	732	3762
163	736	3753
164	740	3747
165	744	3741
166	749	3736
167	752	3728
168	757	3725
169	762	3724
170	766	3716
171	770	3709
172	775	3708
173	779	3701
174	784	3696
175	788	3690
176	793	3689
177	797	3682
178	801	3674
179	806	3674
180	810	3666
181	814	3660
182	818	3654
183	824	3656
184	828	3648
185	832	3641
186	837	3641
187	841	3633
188	845	3626
189	848	3618
190	854	3620
191	858	3613
192	862	3606
193	867	3603
194	873	3604
195	876	3596
196	880	3591
197	888	3597
198	891	3589
199	895	3583
200	902	3589
201	906	3581
202	910	3575
203	915	3570
204	919	3567
205	924	3561
206	928	3555
207	934	3556
208	938	3550
209	942	3544
210	947	3541
211	952	3540
212	956	3533
213	960	3526
214	965	3526
215	970	3522
216	974	3516
217	978	3511
218	982	3505
219	986	3499
220	1012	3568
221	1023	3587
222	1060	3694
223	1074	3722
224	1083	3731
225	1087	3724
226	1093	3723
227	1097	3715
228	1101	3707
229	1108	3709
230	1112	3702
231	1115	3693
232	1120	3687
233	1126	3686
234	1129	3678
235	1133	3670
236	1139	3668
237	1143	3660
238	1147	3652
239	1151	3645
240	1156	3643
241	1160	3634
242	1164	3626
243	1171	3629
244	1175	3622
245	1179	3614
246	1184	3611
247	1190	3608
248	1194	3601
249	1198	3596
250	1205	3597
251	1209	3590
252	1213	3583
253	1220	3585
254	1224	3578
255	1229	3574
256	1236	3574
257	1240	3566
258	1243	3558
259	1251	3561
260	1255	3554
261	1259	3547
262	1266	3548
263	1270	3542
264	1274	3536
265	1282	3537
266	1286	3531
267	1290	3524
268	1297	3525
269	1301	3519
270	1305	3512
271	1312	3513
272	1317	3508
273	1321	3502
274	1331	3510
275	1344	3525
276	1348	3520
277	1354	3516
278	1362	3521
279	1367	3515
280	1372	3512
281	1379	3513
282	1384	3508
283	1394	3514
284	1398	3509
285	1402	3502
286	1410	3503
287	1414	3496
288	1417	3486
289	1425	3489
290	1428	3481
291	1432	3473
292	1439	3473
293	1443	3465
294	1447	3458
295	1451	3452
296	1456	3447
297	1460	3439
298	1463	3432
299	1468	3426
300	1472	3419
301	1476	3412
302	1480	3405
303	1484	3399
304	1488	3391
305	1492	3384
306	1496	3377
307	1500	3370
308	1503	3363
309	1507	3355
310	1511	3349
311	1515	3342
312	1519	3335
313	1522	3326
314	1526	3319
315	1529	3311
316	1533	3303
317	1537	3297
318	1541	3289
319	1545	3283
320	1548	3276
321	1553	3269
322	1556	3262
323	1560	3256
324	1565	3250
325	1569	3243
326	1573	3237
327	1576	3230
328	1580	3223
329	1583	3214
330	1587	3207
331	1590	3200
332	1594	3193
333	1598	3186
334	1601	3179
335	1605	3172
336	1608	3165
337	1612	3158
338	1616	3151
339	1620	3144
340	1623	3137
341	1627	3130
342	1630	3123
343	1634	3117
344	1638	3111
345	1642	3104
346	1646	3097
347	1649	3090
348	1653	3083
349	1656	3075
350	1659	3069
351	1663	3062
352	1667	3055
353	1671	3049
354	1674	3043
355	1679	3038
356	1683	3031
357	1686	3025
358	1690	3018
359	1694	3012
360	1698	3006
361	1702	2999
362	1706	2993
363	1709	2987
364	1713	2981
365	1717	2975
366	1721	2969
367	1725	2963
368	1729	2958
369	1733	2952
370	1738	2947
371	1742	2941
372	1745	2934
373	1750	2929
374	1754	2923
375	1758	2917
376	1762	2912
377	1766	2906
378	1770	2901
379	1779	2903
380	1791	2910
381	1824	2951
382	1836	2957
383	1845	2960
384	1849	2955
385	1859	2958
386	1863	2951
387	1867	2946
388	1878	2950
389	1882	2944
390	1888	2941
391	1892	2935
392	1896	2929
393	1902	2925
394	1907	2921
395	1911	2915
396	1915	2909
397	1922	2907
398	1926	2901
399	1930	2895
400	1937	2894
401	1941	2887
402	1945	2881
403	1952	2880
404	1956	2874
405	1960	2867
406	1962	2859
407	1969	2857
408	1973	2851
409	1977	2845
410	1984	2843
411	1988	2837
412	1992	2831
413	1997	2828
414	2002	2823
415	2005	2815
416	2009	2809
417	2016	2807
418	2020	2801
419	2024	2795
420	2030	2791
421	2034	2787
422	2037	2779
423	2041	2773
424	2048	2772
425	2052	2764
426	2055	2758
427	2061	2755
428	2066	2749
429	2069	2743
430	2074	2738
431	2079	2733
432	2083	2727
433	2086	2721
434	2091	2716
435	2095	2710
436	2098	2703
437	2102	2698
438	2107	2692
439	2110	2686
440	2114	2680
441	2119	2676
442	2125	2672
443	2128	2665
444	2131	2658
445	2135	2652
446	2139	2646
447	2143	2640
448	2151	2639
449	2159	2639
450	2164	2634
451	2169	2630
452	2174	2625
453	2178	2619
454	2182	2614
455	2187	2609
456	2191	2603
457	2195	2597
458	2199	2592
459	2203	2586
460	2207	2580
461	2211	2574
462	2215	2569
463	2219	2563
464	2222	2557
465	2226	2551
466	2230	2545
467	2233	2539
468	2237	2533
469	2241	2527
470	2245	2521
471	2248	2515
472	2252	2509
473	2256	2504
474	2260	2498
475	2264	2492
476	2267	2486
477	2271	2480
478	2275	2475
479	2279	2469
480	2283	2463
481	2287	2458
482	2291	2452
483	2294	2446
484	2298	2440
485	2302	2434
486	2306	2429
487	2309	2423
488	2313	2417
489	2317	2411
490	2321	2406
491	2324	2400
492	2328	2394
493	2332	2389
494	2336	2383
495	2340	2378
496	2344	2372
497	2348	2367
498	2352	2361
499	2355	2355
500	2359	2350
501	2363	2344
502	2367	2338
503	2370	2333
504	2374	2327
505	2378	2321
506	2381	2316
507	2385	2310
508	2391	2306
509	2396	2302
510	2400	2297
511	2404	2291
512	2410	2288
513	2414	2282
514	2418	2277
515	2422	2271
516	2425	2266
517	2429	2260
518	2433	2255
519	2437	2249
520	2441	2244
521	2444	2238
522	2448	2233
523	2452	2228
524	2456	2222
525	2460	2217
526	2464	2211
527	2468	2206
528	2471	2200
529	2475	2195
530	2479	2189
531	2482	2184
532	2486	2178
533	2490	2173
534	2494	2168
535	2498	2162
536	2502	2157
537	2506	2152
538	2510	2146
539	2513	2141
540	2517	2136
541	2521	2130
542	2525	2125
543	2529	2120
544	2533	2115
545	2537	2109
546	2541	2104
547	2545	2099
548	2548	2093
549	2552	2088
550	2556	2083
551	2560	2078
552	2566	2074
553	2570	2069
554	2574	2064
555	2579	2059
556	2584	2055
557	2588	2050
558	2592	2044
559	2597	2040
560	2603	2037
561	2607	2032
562	2613	2028
563	2619	2024
564	2623	2019
565	2629	2016
566	2634	2012
567	2655	2019
568	2698	2043
569	2722	2053
570	2747	2064
571	2751	2058
572	2755	2053
573	2762	2050
574	2766	2044
575	2770	2039
576	2777	2036
577	2781	2030
578	2785	2025
579	2791	2021
580	2795	2016
581	2799	2010
582	2806	2007
583	2810	2002
584	2814	1996
585	2820	1992
586	2825	1988
587	2829	1982
588	2835	1978
589	2841	1974
590	2845	1969
591	2851	1965
592	2857	1961
593	2861	1955
594	2865	1950
595	2871	1946
596	2876	1941
597	2880	1936
598	2885	1931
599	2889	1926
600	2893	1920
601	2898	1915
602	2902	1911
603	2907	1906
604	2911	1900
605	2916	1896
606	2920	1890
607	2924	1885
608	2929	1880
609	2933	1875
610	2937	1870
611	2941	1864
612	2945	1859
613	2949	1854
614	2953	1848
615	2957	1843
616	2961	1838
617	2965	1833
618	2969	1827
619	2973	1822
620	2977	1817
621	2981	1812
622	2985	1806
623	2989	1801
624	2993	1796
625	2998	1791
626	3002	1786
627	3006	1780
628	3010	1775
629	3013	1770
630	3017	1764
631	3021	1759
632	3025	1754
633	3029	1748
634	3033	1743
635	3037	1738
636	3042	1733
637	3046	1728
638	3049	1723
639	3054	1717
640	3058	1713
641	3062	1707
642	3065	1702
643	3069	1696
644	3073	1691
645	3077	1686
646	3080	1680
647	3084	1675
648	3088	1670
649	3091	1664
650	3095	1659
651	3099	1654
652	3103	1648
653	3106	1643
654	3110	1638
655	3114	1633
656	3118	1627
657	3122	1622
658	3125	1617
659	3129	1612
660	3133	1606
661	3136	1601
662	3140	1596
663	3144	1590
664	3147	1585
665	3151	1580
666	3155	1575
667	3159	1570
668	3163	1565
669	3166	1559
670	3170	1554
671	3173	1549
672	3177	1543
673	3181	1538
674	3185	1533
675	3188	1528
676	3192	1523
677	3198	1519
678	3202	1513
679	3206	1508
680	3210	1503
681	3214	1498
682	3218	1493
683	3222	1488
684	3226	1483
685	3230	1478
686	3234	1473
687	3238	1468
688	3243	1464
689	3247	1459
690	3251	1454
691	3256	1449
692	3261	1444
693	3266	1440
694	3274	1436
695	3280	1432
696	3285	1428
697	3290	1423
698	3294	1418
699	3299	1414
700	3303	1409
701	3308	1404
702	3312	1399
703	3317	1394
704	3321	1389
705	3325	1384
706	3329	1380
707	3333	1374
708	3337	1369
709	3341	1364
710	3345	1359
711	3349	1354
712	3353	1349
713	3357	1345
714	3361	1339
715	3365	1334
716	3369	1330
717	3373	1325
718	3377	1320
719	3381	1315
720	3385	1310
721	3390	1305
722	3394	1300
723	3398	1295
724	3402	1290
725	3406	1285
726	3409	1280
727	3413	1275
728	3416	1270
729	3420	1265
730	3423	1259
731	3427	1254
732	3431	1249
733	3434	1244
734	3438	1239
735	3442	1234
736	3446	1229
737	3449	1224
738	3453	1219
739	3456	1214
740	3460	1209
741	3464	1204
742	3468	1199
743	3471	1194
744	3475	1189
745	3479	1184
746	3483	1179
747	3487	1174
