iter	RMSE
0	0.4890258758
1	0.4795222351
2	0.4692994134
3	0.4600058276
4	0.4521552039
5	0.4445113497
6	0.4367738663
7	0.4285768154
8	0.4218798377
9	0.4146568917
10	0.4078584119
11	0.4012444606
12	0.3951061798
13	0.3897130488
14	0.3844199066
15	0.3800602779
16	0.3745638688
17	0.3698438398
18	0.3646208681
19	0.360060273
20	0.3560202071
21	0.3520626884
22	0.3481748096
23	0.3444268048
24	0.3406461095
25	0.3374005889
26	0.333667049
27	0.3307533174
28	0.3274525917
29	0.3243292878
30	0.3221430429
31	0.3194149373
32	0.3163968958
33	0.3133126735
34	0.3112444936
35	0.3084803663
36	0.3056888465
37	0.3036784702
38	0.3017366419
39	0.2990000853
40	0.2962333354
41	0.2947457445
42	0.2926682637
43	0.2910750665
44	0.289201249
45	0.2867913651
46	0.284836689
47	0.2833908075
48	0.2820042044
49	0.2803561854
50	0.278650606
51	0.2770228018
52	0.2755222359
53	0.273772093
54	0.2726945343
55	0.2713622983
56	0.2694987147
57	0.2681748148
58	0.2667732819
59	0.2656982803
60	0.2640040749
61	0.2627603281
62	0.261768883
63	0.2603401198
64	0.2585085633
65	0.2575322452
66	0.2563311835
67	0.2554934901
68	0.2546858098
69	0.2541171724
70	0.2533654237
71	0.2524767393
72	0.2518330323
73	0.2509398005
74	0.2504382704
75	0.2500282844
76	0.2494480852
77	0.2485815001
78	0.2478639024
79	0.246813093
80	0.2459053708
81	0.2453734022
82	0.2448757319
83	0.2442022479
84	0.2436578872
85	0.2429894838
86	0.2424376469
87	0.2418683534
88	0.240716988
89	0.2401463189
90	0.2390934127
91	0.2388186336
92	0.2384092658
93	0.2379666554
94	0.2373736006
95	0.2368419373
96	0.2355979977
97	0.2353178288
98	0.2349602016
99	0.2345360979
100	0.2339205794
101	0.2332820065
102	0.2320941707
103	0.2316785691
104	0.2306935125
105	0.2296190237
106	0.2290801045
107	0.2281593469
108	0.2276194287
109	0.2269508593
110	0.2263871228
111	0.225894684
112	0.2253801391
113	0.2248699531
114	0.2241442587
115	0.2237311205
116	0.2228734828
117	0.2223982978
118	0.2219916737
119	0.2217703208
120	0.2212872051
121	0.2206483226
122	0.2200319301
123	0.2193947628
124	0.2190532474
125	0.2188195525
126	0.2184358881
127	0.2178484817
128	0.2173636141
129	0.2166671919
130	0.2163566303
131	0.2155052703
132	0.2147745436
133	0.2142920508
134	0.2136846768
135	0.2133975521
136	0.2130848381
137	0.2126830938
138	0.2120350996
139	0.2114589269
140	0.2111483455
141	0.2107705543
142	0.2098488815
143	0.2094757259
144	0.2090326338
145	0.2087237
146	0.2081453751
147	0.2077582831
148	0.2073779677
149	0.2069580455
150	0.2066149221
151	0.2062005652
152	0.2058462419
153	0.205356902
154	0.2049903831
155	0.2041985229
156	0.2036571928
157	0.2032420237
158	0.202954128
159	0.2023855829
160	0.2021035547
161	0.2018392717
162	0.2015994896
163	0.2012408254
164	0.200793542
165	0.2002873831
166	0.199609587
167	0.1991526822
168	0.1989119587
169	0.1984450305
170	0.1980452589
171	0.197422157
172	0.1969504766
173	0.1963371819
174	0.1959473885
175	0.1954370993
176	0.1951100111
177	0.1948912819
178	0.1942661401
179	0.1939279491
180	0.1933054435
181	0.1930794306
182	0.1927719743
183	0.1923553159
184	0.1921829862
185	0.1920549006
186	0.1918000392
187	0.1913920145
188	0.1910297616
189	0.1906229454
190	0.1899959753
191	0.1893489235
192	0.1888748693
193	0.188443654
194	0.1880799317
195	0.1877514009
196	0.1874147663
197	0.1866918725
198	0.1864147094
199	0.186001334
200	0.1854570778
201	0.1850816753
202	0.1845286612
203	0.1842662909
204	0.1836772774
205	0.1834054773
206	0.1830229386
207	0.1826037624
208	0.1823624812
209	0.1820746545
210	0.1815948356
211	0.181337535
212	0.1811267243
213	0.1809921906
214	0.1807554714
215	0.1805264297
216	0.1799231114
217	0.17962139
218	0.179014254
219	0.1788464281
220	0.1785338074
221	0.178203146
222	0.1778049194
223	0.1774908485
224	0.1772848619
225	0.1766893369
226	0.176574863
227	0.176224316
228	0.1758355342
229	0.1755916121
230	0.1750532181
231	0.1747085396
232	0.1744770444
233	0.1740729843
234	0.1738610218
235	0.1737319149
236	0.1734635867
237	0.1731186201
238	0.1729114379
239	0.1723757741
240	0.1718664531
241	0.1715698071
242	0.1711492953
243	0.1708292044
244	0.1706449139
245	0.1700594068
246	0.1697249993
247	0.1694234069
248	0.1690737672
249	0.1689119592
250	0.1686671813
251	0.1684674329
252	0.1680749544
253	0.1679081272
254	0.1675405147
255	0.1673408829
256	0.1671937145
257	0.1670077111
258	0.1665221375
259	0.166065222
260	0.1658286185
261	0.1654512553
262	0.1651919373
263	0.1649580032
264	0.1645756951
265	0.1643543219
266	0.1641265549
267	0.1637219245
268	0.1632383155
269	0.1628826002
270	0.16268881
271	0.1625707739
272	0.1624264026
273	0.1622879167
274	0.1620552739
275	0.1616946272
276	0.1612616954
277	0.1609370172
278	0.1607916185
279	0.1604502683
280	0.1603668197
281	0.1601782415
282	0.1597883955
283	0.1593957172
284	0.1592156826
285	0.1590487753
286	0.1588489845
287	0.1584268042
288	0.1580442495
289	0.1576461861
290	0.1573563425
291	0.1568185052
292	0.1566226785
293	0.1562854831
294	0.1559148309
295	0.1555606423
296	0.1553749047
297	0.1550233625
298	0.1547104089
299	0.154355049
300	0.1542502749
301	0.1538257946
302	0.1533292958
303	0.1530326029
304	0.152950395
305	0.1524518526
306	0.1523279064
307	0.1522510295
308	0.1520761781
309	0.1517418829
310	0.1516353992
311	0.1515237172
312	0.1514512456
313	0.1510405793
314	0.1509078235
315	0.1505363337
316	0.1503375485
317	0.1500099814
318	0.1498411623
319	0.1494572661
320	0.1493898071
321	0.149083852
322	0.1486725303
323	0.1485234033
324	0.1482009984
325	0.1478638617
326	0.147503913
327	0.1471820703
328	0.146714625
329	0.1464121973
330	0.1461399169
331	0.145799886
332	0.1453314555
333	0.1449626252
334	0.1445600845
335	0.1443076296
336	0.1439757809
337	0.1438505021
338	0.1436594896
339	0.1435921753
340	0.1435310913
341	0.1432172722
342	0.1428421812
343	0.1426819269
344	0.1424866389
345	0.1424344045
346	0.1423257848
347	0.1418493045
348	0.1415127866
349	0.1412530878
350	0.1409317112
351	0.1406071377
352	0.1403739144
353	0.1402856461
354	0.140223883
355	0.1398958376
356	0.1396152104
357	0.1394815582
358	0.1391223693
359	0.1389621777
360	0.1387315571
361	0.1385120713
362	0.138012613
363	0.1376636259
364	0.1376228703
365	0.1373387557
366	0.1372794325
367	0.137127919
368	0.1368417577
369	0.1365828588
370	0.1362125902
371	0.1359910776
372	0.1357249146
373	0.1353755316
374	0.1351093487
375	0.1347943078
376	0.1345625225
377	0.1343548884
378	0.1340293073
379	0.1339823757
380	0.1335875962
381	0.1332815888
382	0.1331693746
383	0.1328637026
384	0.1326021947
385	0.1323463276
386	0.1321376067
387	0.1317524436
388	0.1315020638
389	0.1312389498
390	0.1310773727
391	0.130916569
392	0.1306847384
393	0.1303519642
394	0.1302055097
395	0.1299232747
396	0.1298535772
397	0.1296291465
398	0.1295812849
399	0.1293997416
400	0.1291491527
401	0.1290319775
402	0.1286664993
403	0.128511439
404	0.1283674424
405	0.1280711053
406	0.1278347771
407	0.1277199703
408	0.1272443339
409	0.1270749208
410	0.1266334894
411	0.1263591223
412	0.1262559838
413	0.1260987639
414	0.1259911309
415	0.125713542
416	0.125511924
417	0.1252358079
418	0.1250040896
419	0.1247396871
420	0.1245360567
421	0.1242126972
422	0.1240914079
423	0.1239156995
424	0.1236849259
425	0.1234615697
426	0.1232187673
427	0.1229629797
428	0.1228232835
429	0.1226465448
430	0.1224724858
431	0.1223034966
432	0.121849141
433	0.1216452749
434	0.1213809236
435	0.1212822431
436	0.1210916974
437	0.1209572956
438	0.1206443963
439	0.120381582
440	0.1202162114
441	0.1202028813
442	0.120050818
443	0.1198407469
444	0.1194140637
445	0.1192443466
446	0.1190411683
447	0.1188784585
448	0.1187642953
449	0.1186640026
450	0.1183324567
451	0.1181067554
452	0.1179990443
453	0.1176930574
454	0.1176357728
455	0.1173819086
456	0.1173671326
457	0.1171270291
458	0.1169957678
459	0.1167301224
460	0.1165401688
461	0.1164795007
462	0.1163818946
463	0.1161768844
464	0.1158942092
465	0.1156618423
466	0.1152812757
467	0.1151421443
468	0.1150716016
469	0.1148454483
470	0.1147262257
471	0.1144408679
472	0.1143725815
473	0.1141389131
474	0.1138817255
475	0.1138153879
476	0.1135742881
477	0.1133878425
478	0.1132242378
479	0.113161281
480	0.1130198451
481	0.1128911768
482	0.1126852116
483	0.1124950258
484	0.1123510766
485	0.1122133295
486	0.1120220541
487	0.1118446996
488	0.1117097807
489	0.1115391992
490	0.111365825
491	0.1112423064
492	0.1110992739
493	0.1108998212
494	0.1107034983
495	0.1105983238
496	0.1104593098
497	0.1101545704
498	0.110006954
499	0.1098095358
500	0.1097075987
501	0.1096232243
502	0.1095232306
503	0.1094559983
504	0.1093564872
505	0.1092235324
506	0.1090220646
507	0.1089743348
508	0.1088002159
509	0.1086757627
510	0.1085066852
511	0.108344481
512	0.1081747157
513	0.1080484898
514	0.1079354354
515	0.1077335433
516	0.1075542462
517	0.1072810053
518	0.1071932777
519	0.1070297726
520	0.1067114211
521	0.1065374734
522	0.1062050863
523	0.10606048
524	0.1059475934
525	0.1058920784
526	0.1056384227
527	0.1054268285
528	0.1053441734
529	0.105228054
530	0.1051178195
531	0.1049997476
532	0.1048659722
533	0.1046990654
534	0.104660489
535	0.1044557059
536	0.1043395789
537	0.1042547344
538	0.1041325861
539	0.1040564417
540	0.103947837
541	0.103757403
542	0.1035977761
543	0.1034511171
544	0.10339483
545	0.1032979679
546	0.1032579243
547	0.1031176634
548	0.1030108129
549	0.102895546
550	0.1027375744
551	0.1026488654
552	0.1025104538
553	0.1023177599
554	0.1022183586
555	0.101905098
556	0.1017401723
557	0.1016298397
558	0.1015046423
559	0.1014050664
560	0.1013183685
561	0.1011602817
562	0.1010067761
563	0.1009650635
564	0.100720548
565	0.1006526258
566	0.1005229423
567	0.1003093113
568	0.1002038755
569	0.1000664887
570	0.1000053891
571	0.09971477355
572	0.09961063706
573	0.09959064784
574	0.09945029121
575	0.09938817139
576	0.09933285908
577	0.0991539433
578	0.09902827529
579	0.0989851923
580	0.09885111052
581	0.09863026006
582	0.09858176578
583	0.09846286445
584	0.0983252487
585	0.09821398664
586	0.09792904375
587	0.09772636719
588	0.09764201052
589	0.09752822453
590	0.09742216593
591	0.0972595345
592	0.09707255516
593	0.09694387554
594	0.09674243041
595	0.0966259503
596	0.09661155144
597	0.09647763486
598	0.09644920017
