iter	Passed	Remaining
0	1	1760
1	3	1559
2	4	1507
3	5	1472
4	7	1444
5	8	1431
6	10	1424
7	11	1418
8	12	1407
9	14	1409
10	15	1428
11	17	1423
12	18	1415
13	19	1407
14	21	1409
15	22	1410
16	24	1405
17	26	1450
18	28	1477
19	29	1467
20	31	1465
21	32	1457
22	34	1453
23	35	1451
24	37	1453
25	39	1475
26	40	1470
27	42	1461
28	43	1456
29	45	1470
30	47	1487
31	49	1500
32	50	1493
33	52	1489
34	53	1483
35	55	1477
36	56	1474
37	58	1469
38	59	1463
39	61	1466
40	62	1461
41	63	1458
42	65	1452
43	66	1451
44	68	1448
45	69	1449
46	71	1444
47	72	1440
48	74	1437
49	75	1437
50	77	1435
51	78	1433
52	80	1431
53	81	1428
54	83	1427
55	84	1424
56	85	1422
57	87	1419
58	88	1416
59	90	1420
60	92	1427
61	94	1434
62	97	1443
63	99	1449
64	100	1451
65	102	1448
66	103	1443
67	105	1444
68	108	1458
69	110	1467
70	113	1479
71	115	1489
72	117	1494
73	119	1501
74	122	1514
75	124	1519
76	127	1527
77	129	1534
78	131	1532
79	132	1528
80	134	1526
81	136	1524
82	137	1522
83	139	1516
84	140	1516
85	142	1513
86	143	1508
87	145	1503
88	146	1499
89	147	1495
90	149	1491
91	150	1489
92	152	1486
93	153	1481
94	155	1478
95	156	1474
96	157	1470
97	159	1465
98	160	1461
99	161	1457
100	163	1455
101	164	1451
102	166	1448
103	167	1444
104	169	1443
105	171	1442
106	172	1439
107	173	1436
108	175	1433
109	176	1429
110	178	1426
111	179	1422
112	181	1421
113	182	1419
114	184	1417
115	185	1414
116	187	1411
117	188	1408
118	189	1405
119	191	1401
120	192	1399
121	194	1396
122	195	1394
123	197	1395
124	199	1395
125	200	1392
126	202	1389
127	203	1386
128	205	1384
129	206	1381
130	207	1378
131	209	1375
132	210	1374
133	212	1374
134	213	1370
135	215	1367
136	216	1365
137	218	1362
138	219	1359
139	220	1356
140	222	1353
141	223	1351
142	225	1350
143	227	1349
144	228	1347
145	229	1345
146	231	1342
147	232	1339
148	234	1336
149	235	1334
150	236	1331
151	238	1329
152	239	1328
153	241	1325
154	242	1324
155	244	1321
156	245	1319
157	247	1317
158	248	1315
159	250	1312
160	251	1310
161	252	1307
162	254	1307
163	256	1306
164	257	1304
165	259	1302
166	260	1300
167	262	1297
168	263	1295
169	264	1293
170	266	1291
171	267	1289
172	269	1288
173	270	1285
174	272	1284
175	274	1283
176	275	1281
177	277	1279
178	278	1276
179	279	1274
180	281	1272
181	283	1272
182	284	1270
183	286	1268
184	288	1269
185	289	1267
186	290	1264
187	292	1262
188	293	1260
189	296	1262
190	298	1262
191	300	1262
192	302	1263
193	304	1264
194	306	1265
195	308	1266
196	311	1269
197	313	1270
198	316	1273
199	318	1273
200	319	1271
201	321	1269
202	322	1267
203	324	1265
204	326	1264
205	327	1262
206	329	1261
207	330	1258
208	332	1258
209	333	1255
210	335	1254
211	336	1252
212	338	1250
213	340	1251
214	342	1252
215	344	1252
216	347	1252
217	349	1252
218	351	1252
219	352	1249
220	353	1247
221	355	1245
222	357	1245
223	359	1245
224	360	1243
225	362	1241
226	364	1239
227	365	1237
228	367	1236
229	368	1233
230	370	1233
231	372	1231
232	373	1229
233	374	1226
234	376	1224
235	377	1222
236	379	1221
237	380	1218
238	381	1216
239	383	1214
240	384	1212
241	386	1209
242	387	1207
243	388	1204
244	390	1202
245	391	1200
246	393	1198
247	394	1196
248	395	1194
249	398	1194
250	400	1194
251	402	1193
252	403	1191
253	405	1190
254	406	1187
255	408	1185
256	409	1183
257	410	1181
258	412	1180
259	413	1178
260	415	1175
261	416	1173
262	418	1171
263	419	1169
264	420	1166
265	422	1164
266	423	1163
267	425	1160
268	426	1160
269	428	1157
270	429	1155
271	430	1153
272	432	1151
273	433	1149
274	435	1147
275	436	1145
276	438	1145
277	440	1143
278	441	1141
279	443	1139
280	444	1137
281	446	1135
282	447	1133
283	449	1132
284	450	1130
285	452	1129
286	453	1127
287	455	1126
288	456	1124
289	458	1122
290	459	1120
291	464	1125
292	471	1136
293	477	1145
294	483	1154
295	489	1164
296	495	1173
297	502	1182
298	508	1192
299	514	1201
300	521	1210
301	527	1218
302	533	1228
303	540	1237
304	543	1238
305	545	1237
306	547	1234
307	548	1232
308	550	1230
309	551	1227
310	553	1225
311	554	1222
312	555	1220
313	557	1217
314	558	1215
315	560	1213
316	562	1211
317	563	1208
318	565	1206
319	566	1204
320	568	1202
321	569	1200
322	571	1197
323	572	1195
324	574	1193
325	576	1191
326	578	1190
327	579	1187
328	581	1185
329	582	1182
330	584	1180
331	585	1178
332	587	1175
333	588	1173
334	590	1172
335	592	1170
336	594	1168
337	595	1166
338	596	1163
339	598	1161
340	599	1158
341	601	1156
342	602	1154
343	604	1152
344	605	1150
345	607	1148
346	609	1146
347	611	1145
348	613	1143
349	615	1143
350	619	1144
351	621	1144
352	623	1142
353	624	1140
354	626	1137
355	627	1135
356	629	1133
357	630	1130
358	632	1128
359	633	1126
360	635	1124
361	636	1122
362	638	1120
363	639	1117
364	641	1115
365	642	1113
366	644	1110
367	645	1108
368	646	1106
369	648	1104
370	650	1102
371	653	1102
372	656	1104
373	662	1108
374	664	1107
375	667	1107
376	669	1106
377	672	1106
378	675	1106
379	677	1105
