iter	RMSE
0	1.995620809
1	1.947874504
2	1.905040234
3	1.85871842
4	1.81043685
5	1.765582339
6	1.724708078
7	1.690170966
8	1.652106367
9	1.612854546
10	1.579121425
11	1.546601977
12	1.515163803
13	1.484869082
14	1.456593699
15	1.432080311
16	1.405014004
17	1.384902335
18	1.363982997
19	1.343530861
20	1.324049635
21	1.301855677
22	1.283035083
23	1.262686097
24	1.243840543
25	1.231430688
26	1.214910112
27	1.202379267
28	1.188641446
29	1.172418709
30	1.157243574
31	1.143519906
32	1.131752238
33	1.120455439
34	1.112186266
35	1.09975882
36	1.089537377
37	1.076315691
38	1.065054452
39	1.056273484
40	1.046897473
41	1.039593732
42	1.035211177
43	1.024614882
44	1.016545717
45	1.008911539
46	1.000027934
47	0.9897386546
48	0.9836203215
49	0.974593746
50	0.9668117871
51	0.9615342348
52	0.9563637184
53	0.9499898829
54	0.9435808351
55	0.9383066162
56	0.9296219576
57	0.9225186891
58	0.9119435232
59	0.9054123862
60	0.8957599938
61	0.890817695
62	0.8857060274
63	0.8796941436
64	0.8766050696
65	0.8688640631
66	0.8646603666
67	0.8597137163
68	0.8558975519
69	0.8518174006
70	0.8486584629
71	0.8407448795
72	0.8348034217
73	0.8314262679
74	0.8284161647
75	0.824429818
76	0.8211261462
77	0.8158152175
78	0.8108012032
79	0.8061162768
80	0.8015634838
81	0.7990134272
82	0.7957238518
83	0.7929715858
84	0.7914865665
85	0.7894493315
86	0.7863736129
87	0.7835986975
88	0.779836838
89	0.7770842137
90	0.7722894409
91	0.7668077261
92	0.7646840098
93	0.7613709481
94	0.7565111369
95	0.7509141446
96	0.7485858488
97	0.7411219967
98	0.7360163002
99	0.7349024891
100	0.7333247329
101	0.7304115011
102	0.7259737751
103	0.7245348984
104	0.7196047728
105	0.7161191708
106	0.7152121924
107	0.7121294455
108	0.7102817871
109	0.707851357
110	0.706686885
111	0.7028731875
112	0.6980662866
113	0.6954890826
114	0.6943650469
115	0.6897668792
116	0.6879922986
117	0.6844069515
118	0.6825083297
119	0.6786887491
120	0.673070291
121	0.6716445122
122	0.670135117
123	0.6681363019
124	0.6665887686
125	0.6646967296
126	0.6643454555
127	0.6634692181
128	0.6596981862
129	0.6588216689
130	0.6549350489
131	0.6540618953
132	0.653966065
133	0.6520172904
134	0.650671252
135	0.647785135
136	0.6449656963
137	0.6423147113
138	0.6401235509
139	0.637685031
140	0.6365164105
141	0.6341991287
142	0.6336247328
143	0.6308415543
144	0.6277122838
145	0.6259489406
146	0.6245719727
147	0.6218222087
148	0.6194086711
149	0.6169982765
150	0.6150921041
151	0.6137798868
152	0.613046715
153	0.6123882262
154	0.6113572141
155	0.6106168291
156	0.6088814403
157	0.6083256388
158	0.6062566561
159	0.6042538083
160	0.5989264877
161	0.5965425444
162	0.5954486965
163	0.5946573272
164	0.5918109446
165	0.5904313285
166	0.5874606086
167	0.5858324127
168	0.5844235195
169	0.5801316394
170	0.578212449
171	0.5761532919
172	0.5734589006
173	0.5711154479
174	0.5689602522
175	0.5651913673
176	0.5634932321
177	0.5625677394
178	0.5593767388
179	0.5570253639
180	0.5540627995
181	0.5526492214
182	0.5508633406
183	0.5499703297
184	0.5471329806
185	0.5457985519
186	0.5436736117
187	0.541972046
188	0.5387558059
189	0.5368359578
190	0.5352396047
191	0.5337035785
192	0.5333270794
193	0.5312715026
194	0.5285878139
195	0.5273649813
196	0.5248221207
197	0.5213899756
198	0.5201278909
199	0.517905594
200	0.5171533233
201	0.5156988785
202	0.5136661794
203	0.5123056249
204	0.5108728064
205	0.5101867105
206	0.5096368877
207	0.508530743
208	0.507833982
209	0.5066669588
210	0.5058280967
211	0.5047776808
212	0.5026852796
213	0.5015604881
214	0.4998462679
215	0.4987401346
216	0.4976278835
217	0.4953447894
218	0.4939140302
219	0.4923707504
220	0.4911908558
221	0.4887160599
222	0.487680944
223	0.486583952
224	0.4850209547
225	0.4828721447
226	0.482009788
227	0.4797596904
228	0.4786134656
229	0.4759503422
230	0.4748864444
231	0.4739493323
232	0.4725686418
233	0.4715851041
234	0.4708943825
235	0.4690557241
236	0.4672417156
237	0.4659572283
238	0.464181429
239	0.4630027884
240	0.461623035
241	0.4607253563
242	0.4588393158
243	0.4581253797
244	0.4575302186
245	0.4568660477
246	0.4554442419
247	0.4544401353
248	0.4534882469
249	0.4526701078
250	0.4521085366
251	0.4502538673
252	0.4484218914
253	0.4477267351
254	0.446384037
255	0.4454916207
256	0.4449449689
257	0.4433183964
258	0.442276737
259	0.4409134608
260	0.4396596128
261	0.438756263
262	0.4372716641
263	0.4367718321
264	0.4350909326
265	0.4339922272
266	0.4328736432
267	0.4315353736
268	0.4300148069
269	0.4288043105
270	0.4282099737
271	0.4268128728
272	0.4257729276
273	0.4246229061
274	0.4238902601
275	0.4232298012
276	0.4226384358
277	0.4215426115
278	0.4205542015
279	0.4201197921
280	0.4186883184
281	0.4180301652
282	0.4168534457
283	0.4154939015
284	0.4134671489
285	0.4126093148
286	0.4113316632
287	0.4107572118
288	0.4093178192
289	0.4084145986
290	0.4072165664
291	0.4065196608
292	0.4060187686
293	0.4052527987
294	0.4047898748
295	0.4033523968
296	0.4027740179
297	0.4013807753
298	0.4009624668
299	0.3995124991
300	0.3980186287
301	0.3973123626
302	0.3966900907
303	0.3959025744
304	0.3953805877
305	0.3936264369
306	0.3929092911
307	0.3915006337
308	0.3901674267
309	0.3897339668
310	0.3890146646
311	0.3876439805
312	0.386796466
313	0.3861998145
314	0.385634863
315	0.3852169488
316	0.3846885753
317	0.384246134
318	0.3831619277
319	0.3827117988
320	0.3820872942
321	0.3814085576
322	0.3811632744
323	0.3804830477
324	0.380037892
325	0.3788740692
326	0.3779749077
327	0.3772528702
328	0.3761863164
329	0.3758271084
330	0.3751842631
331	0.3745400771
332	0.3734893313
333	0.3724556984
334	0.3722359941
335	0.3718209188
336	0.3714265221
337	0.3704128878
338	0.3701707028
339	0.3692691127
340	0.3686279066
341	0.3680330113
342	0.3673605743
343	0.367241429
344	0.3669031432
345	0.3667913364
346	0.3666877835
347	0.3656944835
348	0.3654413171
349	0.3649744453
350	0.3640854767
351	0.3633310808
352	0.362734133
353	0.3620936859
354	0.3611815003
355	0.3602311999
356	0.3601292111
357	0.3592490434
358	0.3585126594
359	0.3581590418
360	0.3576079384
361	0.3569039656
362	0.35605956
363	0.3550149112
364	0.3544542308
365	0.3540946831
366	0.3538093683
367	0.3536713331
368	0.3529071666
369	0.3521207453
370	0.3511149674
371	0.3508546298
372	0.350521923
373	0.350256295
374	0.3499781314
375	0.3495704307
376	0.3490021071
377	0.3479682623
378	0.3471887991
379	0.3464573859
380	0.3460678762
381	0.3449917458
382	0.3444768411
383	0.343896097
384	0.3435629513
385	0.3431986108
386	0.3425000452
387	0.3415363025
388	0.3404297757
389	0.3400629374
390	0.3393733581
391	0.3390725521
392	0.3387238387
393	0.3383726741
394	0.3376290884
395	0.337324718
396	0.3369859741
397	0.3362331439
398	0.3359573129
399	0.3355881585
400	0.3350430788
401	0.3343576654
402	0.3338261634
403	0.3332151876
404	0.3320457014
405	0.3316545436
406	0.3313707739
407	0.3307032996
408	0.3304379844
409	0.3302388338
410	0.3291466949
411	0.3288082157
412	0.3286083342
