iter	Passed	Remaining
0	1	1748
1	3	1778
2	5	1831
3	7	1807
4	8	1783
5	10	1766
6	12	1765
7	13	1671
8	15	1685
9	17	1702
10	18	1702
11	20	1695
12	22	1690
13	24	1694
14	25	1689
15	27	1699
16	29	1719
17	30	1683
18	32	1694
19	34	1681
20	36	1680
21	37	1676
22	39	1675
23	41	1676
24	43	1680
25	44	1653
26	45	1653
27	47	1645
28	49	1647
29	50	1647
30	52	1645
31	54	1643
32	56	1642
33	57	1646
34	59	1634
35	61	1636
36	63	1640
37	65	1654
38	67	1666
39	69	1677
40	71	1677
41	73	1675
42	74	1657
43	76	1657
44	78	1657
45	79	1656
46	82	1663
47	83	1664
48	85	1660
49	87	1659
50	89	1659
51	90	1657
52	92	1655
53	94	1656
54	96	1660
55	99	1669
56	102	1694
57	104	1703
58	107	1710
59	109	1713
60	111	1715
61	113	1715
62	115	1717
63	117	1717
64	119	1722
65	122	1728
66	124	1729
67	126	1733
68	128	1734
69	130	1734
70	132	1733
71	134	1734
72	136	1734
73	138	1735
74	140	1733
75	142	1733
76	144	1732
77	146	1731
78	148	1730
79	150	1729
80	152	1726
81	154	1724
82	156	1724
83	158	1724
84	160	1723
85	162	1723
86	164	1721
87	165	1719
88	167	1716
89	169	1712
90	171	1711
91	173	1709
92	175	1707
93	177	1706
94	179	1705
95	180	1702
96	182	1700
97	184	1700
98	186	1700
99	188	1698
100	190	1695
101	192	1692
102	194	1690
103	195	1687
104	197	1686
105	199	1683
106	201	1679
107	203	1677
108	204	1675
109	206	1674
110	208	1671
111	210	1668
112	212	1667
113	214	1664
114	215	1661
115	217	1660
116	219	1658
117	221	1655
118	223	1655
119	225	1652
120	227	1649
121	228	1647
122	230	1644
123	232	1642
124	234	1639
125	236	1638
126	237	1635
127	240	1635
128	242	1634
129	243	1631
130	245	1627
131	247	1624
132	247	1614
133	249	1612
134	251	1609
135	253	1607
136	254	1605
137	256	1602
138	258	1600
139	260	1597
140	261	1594
141	263	1592
142	265	1590
143	267	1588
144	268	1585
145	270	1583
146	272	1580
147	274	1578
148	276	1576
149	277	1574
150	279	1571
151	281	1569
152	283	1567
153	285	1566
154	286	1564
155	288	1562
156	290	1559
157	292	1557
158	294	1556
159	296	1554
160	297	1552
161	299	1549
162	301	1547
163	303	1544
164	304	1543
165	306	1540
166	308	1538
167	310	1540
168	312	1538
169	314	1536
170	316	1533
171	318	1531
172	320	1529
173	321	1527
174	323	1526
175	325	1525
176	327	1524
177	330	1524
178	331	1521
179	333	1518
180	335	1516
181	336	1514
182	338	1511
183	340	1509
184	342	1508
185	344	1506
186	346	1505
187	348	1503
188	349	1501
189	351	1499
190	353	1497
191	355	1495
192	357	1494
193	359	1492
194	360	1490
195	362	1488
196	364	1486
197	366	1484
198	368	1482
199	369	1479
200	371	1478
201	373	1476
202	375	1473
203	377	1471
204	378	1469
205	380	1467
206	382	1465
207	384	1463
208	386	1461
209	388	1460
210	390	1458
211	391	1456
212	393	1454
213	395	1452
214	397	1450
215	399	1449
216	400	1446
217	402	1445
218	404	1442
219	406	1441
220	408	1439
221	410	1437
222	412	1435
223	413	1434
224	415	1432
225	417	1430
226	419	1429
227	421	1427
