iter	RMSE
0	0.4921004802
1	0.4833039513
2	0.4756990097
3	0.4686028832
4	0.4607232344
5	0.4525685151
6	0.4458751526
7	0.4385507613
8	0.4330069587
9	0.4285637462
10	0.4221738876
11	0.4156598338
12	0.4077265457
13	0.4015794784
14	0.3954628116
15	0.3895302087
16	0.3837981658
17	0.3788428968
18	0.3731915884
19	0.3681914035
20	0.36278031
21	0.3575900061
22	0.3514144263
23	0.345444701
24	0.3400019816
25	0.3359732465
26	0.3316344539
27	0.3270627917
28	0.3236547837
29	0.3192636304
30	0.3153638945
31	0.310851599
32	0.3069223147
33	0.3041317907
34	0.3009860463
35	0.2978213642
36	0.2943036615
37	0.2901895262
38	0.2864530061
39	0.2842925587
40	0.2810385623
41	0.2779227292
42	0.2744619991
43	0.2716812853
44	0.2686027816
45	0.2661680572
46	0.2628715995
47	0.2602258794
48	0.2574167567
49	0.2547165881
50	0.2525244262
51	0.249968149
52	0.2470052508
53	0.244191621
54	0.2421454179
55	0.2400976297
56	0.2374310935
57	0.2351174143
58	0.2332610635
59	0.2311415279
60	0.2290905163
61	0.2262553677
62	0.2253149604
63	0.2235858827
64	0.2218551707
65	0.2200106114
66	0.21814061
67	0.2159364424
68	0.2140919205
69	0.2122383252
70	0.2104537286
71	0.2091335747
72	0.2075850605
73	0.2060076576
74	0.2045264392
75	0.2029128025
76	0.2013512731
77	0.2001861951
78	0.1994095801
79	0.197432999
80	0.1961312711
81	0.1952423605
82	0.1937842354
83	0.1928478892
84	0.1919234874
85	0.1904653651
86	0.1892528479
87	0.1880625949
88	0.1868515627
89	0.1852314334
90	0.1836538494
91	0.1826834225
92	0.1809049767
93	0.1794970599
94	0.1782635091
95	0.1772702237
96	0.1765041344
97	0.1757169416
98	0.1745868531
99	0.1739474016
100	0.1731978429
101	0.1719260634
102	0.1707086231
103	0.169822542
104	0.1686210203
105	0.168228891
106	0.1671188187
107	0.1664100818
108	0.1656158084
109	0.164999504
110	0.1639419174
111	0.1634205183
112	0.1628101032
113	0.1616339566
114	0.1610160199
115	0.1597688587
116	0.1587616369
