iter	Passed	Remaining
0	1	1558
1	2	1460
2	4	1437
3	5	1437
4	7	1433
5	8	1455
6	10	1442
7	11	1429
8	12	1427
9	14	1410
10	15	1434
11	17	1426
12	18	1419
13	20	1409
14	21	1405
15	22	1404
16	24	1403
17	25	1406
18	27	1412
19	28	1414
20	30	1416
21	31	1420
22	33	1412
23	34	1407
24	36	1408
25	37	1400
26	38	1394
27	39	1388
28	41	1385
29	42	1383
30	44	1385
31	45	1383
32	47	1383
33	48	1382
34	50	1383
35	51	1381
36	52	1376
37	54	1374
38	55	1371
39	56	1359
40	58	1356
41	59	1356
42	60	1356
43	62	1354
44	63	1353
45	65	1349
46	66	1347
47	67	1345
48	69	1341
49	70	1338
50	71	1335
51	73	1337
52	74	1336
53	76	1336
54	77	1336
55	79	1332
56	80	1331
57	81	1328
58	83	1328
59	84	1326
60	86	1325
61	87	1324
62	88	1321
63	90	1321
64	91	1318
65	93	1316
66	94	1314
67	95	1312
68	97	1314
69	98	1314
70	100	1314
71	101	1311
72	103	1309
73	104	1309
74	106	1310
75	107	1308
76	108	1305
77	110	1303
78	111	1297
79	112	1295
80	113	1292
81	115	1291
82	117	1294
83	118	1295
84	120	1293
85	121	1292
86	123	1290
87	124	1288
88	125	1285
89	126	1283
90	128	1282
91	129	1280
92	131	1281
93	132	1280
94	134	1278
95	135	1277
96	137	1275
97	138	1273
98	139	1272
99	141	1271
100	142	1269
101	144	1268
102	145	1267
103	154	1328
104	155	1326
105	157	1324
106	158	1322
107	160	1321
108	161	1319
109	162	1317
110	164	1315
111	165	1312
112	167	1311
113	168	1309
114	169	1307
115	171	1305
116	172	1303
117	174	1301
118	175	1299
119	177	1298
120	178	1296
121	179	1294
122	181	1292
123	182	1287
124	183	1285
125	184	1282
126	186	1280
127	187	1278
128	189	1276
129	190	1274
130	191	1272
131	193	1270
132	194	1268
133	195	1266
134	197	1264
135	198	1262
136	200	1260
137	201	1258
138	203	1257
139	204	1256
140	205	1254
141	207	1253
142	209	1252
143	210	1251
144	211	1249
145	213	1247
146	214	1246
147	216	1244
148	217	1241
149	218	1240
150	220	1238
151	222	1238
152	223	1236
153	224	1235
154	226	1234
155	228	1233
156	229	1231
157	230	1229
158	232	1228
159	233	1226
160	235	1225
161	236	1223
162	237	1221
163	239	1220
164	240	1218
165	242	1217
166	243	1214
167	244	1212
168	246	1210
169	247	1209
170	249	1208
171	250	1206
172	251	1204
173	253	1202
174	254	1201
175	256	1200
176	258	1200
177	260	1201
178	262	1202
179	263	1201
180	265	1200
181	266	1199
182	268	1198
183	269	1196
184	271	1196
185	273	1195
186	274	1194
187	276	1193
188	277	1192
189	279	1192
190	281	1191
191	282	1190
192	284	1189
193	286	1188
194	287	1186
195	289	1185
196	290	1184
197	292	1183
198	293	1182
199	295	1181
200	296	1179
201	298	1177
202	299	1175
203	301	1174
204	303	1176
205	304	1175
206	306	1173
207	307	1172
208	309	1170
209	310	1168
210	312	1166
211	313	1165
212	314	1163
213	316	1161
214	317	1159
215	319	1158
216	320	1156
217	321	1154
218	323	1152
219	324	1150
220	325	1148
221	327	1146
222	328	1145
223	330	1143
224	331	1142
225	333	1141
226	334	1139
227	335	1137
228	337	1135
229	338	1133
230	339	1131
231	341	1130
232	342	1128
233	344	1126
234	345	1125
235	347	1123
236	348	1122
237	350	1120
238	351	1118
239	352	1116
240	353	1114
241	355	1113
242	356	1111
243	358	1109
244	359	1108
245	361	1106
246	362	1104
247	363	1103
248	365	1101
249	366	1099
250	367	1097
251	369	1096
252	370	1094
253	372	1093
254	373	1091
255	375	1090
256	376	1088
257	377	1086
258	379	1085
259	380	1083
260	381	1081
261	383	1079
262	384	1078
263	386	1076
264	387	1075
265	389	1074
266	390	1072
267	392	1071
268	393	1069
269	395	1068
270	396	1066
271	397	1064
272	399	1063
273	400	1062
274	402	1060
275	403	1059
276	405	1057
277	405	1054
278	407	1052
279	408	1050
280	409	1048
281	411	1047
282	412	1045
283	414	1044
284	415	1043
285	417	1041
286	418	1040
287	420	1039
288	421	1037
289	423	1036
290	424	1035
291	426	1033
292	427	1031
293	428	1029
294	430	1028
295	431	1026
296	433	1025
297	434	1023
298	435	1021
299	437	1020
300	438	1018
301	439	1015
302	440	1013
303	442	1011
304	443	1010
305	444	1009
306	446	1007
307	447	1005
308	449	1004
309	450	1002
310	452	1001
311	453	999
312	454	998
313	456	996
314	457	994
315	458	992
316	460	991
317	461	989
318	462	988
319	464	986
320	465	985
321	467	983
322	468	982
323	470	981
324	471	979
325	473	978
326	474	977
327	476	975
328	477	974
329	479	972
330	480	971
331	481	969
332	483	968
333	484	966
334	485	964
335	486	962
336	489	962
337	493	967
338	495	965
339	496	964
340	498	963
341	499	961
342	501	960
343	502	958
344	504	957
345	505	955
346	507	954
347	508	952
348	509	951
349	511	949
350	512	947
351	513	946
352	515	944
353	516	942
354	517	940
355	518	938
356	520	936
357	521	935
358	523	933
359	524	932
360	525	930
361	527	929
362	528	927
363	529	925
364	530	923
365	531	921
366	533	919
367	534	917
368	535	915
369	536	914
370	538	912
371	539	910
372	540	909
373	542	907
374	543	906
375	545	904
376	546	903
377	547	901
378	549	899
379	550	898
380	551	896
381	553	895
382	554	893
383	556	891
384	557	890
385	558	889
386	560	887
387	561	885
388	563	884
389	564	882
390	565	880
391	566	879
392	568	877
393	569	875
394	570	874
395	572	872
396	573	871
397	575	869
398	576	868
399	577	865
400	578	864
401	580	862
402	581	861
403	583	860
404	584	858
405	585	857
406	587	855
407	588	854
408	590	852
409	591	851
410	593	850
411	594	848
412	596	847
413	597	845
414	598	844
415	600	842
416	601	840
417	602	839
418	604	838
419	606	836
420	607	835
421	608	834
422	610	832
423	611	830
424	613	829
425	614	828
426	616	826
427	616	824
428	618	822
429	619	821
430	621	819
431	622	818
432	623	816
433	625	815
434	626	813
435	627	812
436	629	810
437	630	808
438	631	806
439	632	805
440	633	803
441	635	802
442	636	800
443	638	799
444	639	797
445	641	796
446	642	794
447	643	793
448	644	791
449	646	789
450	647	788
451	649	787
452	650	785
453	651	784
454	653	782
455	654	781
456	656	779
457	657	778
458	659	776
459	660	775
460	661	773
461	663	772
462	664	770
463	665	769
464	667	767
465	668	766
466	670	764
467	670	762
468	672	760
469	673	759
470	674	757
471	676	756
472	678	755
473	679	754
474	681	752
475	682	751
476	683	749
477	684	747
478	686	746
479	687	744
480	688	742
481	689	741
482	691	740
483	693	739
484	694	737
485	696	736
486	697	734
487	698	733
488	700	731
489	701	729
490	702	728
491	704	727
492	705	725
493	706	724
494	708	722
495	709	720
496	710	719
497	712	717
498	713	716
499	714	714
500	715	712
501	717	711
502	718	709
503	719	708
504	721	706
505	721	704
506	723	703
507	724	701
508	725	700
509	727	698
510	728	696
511	728	694
512	730	693
513	731	691
514	732	689
515	733	688
516	734	686
517	736	685
518	737	683
519	738	681
520	740	680
521	741	679
522	743	677
523	744	676
524	745	674
525	747	673
526	748	671
527	750	670
528	751	669
529	752	667
530	754	666
531	755	664
532	756	663
533	758	661
534	759	660
535	760	658
536	761	656
537	762	655
538	764	653
539	765	652
540	767	650
541	768	649
542	769	647
543	771	646
544	772	645
545	774	643
546	775	642
547	776	640
548	778	639
549	779	637
550	780	636
551	795	645
552	796	644
553	797	642
554	798	640
555	799	638
556	801	637
557	803	636
558	803	634
559	805	632
560	807	631
561	808	630
562	810	629
563	812	627
564	813	626
565	815	625
566	817	624
567	818	622
568	820	621
569	821	620
570	823	618
571	826	618
572	827	616
573	829	615
574	831	614
575	832	613
576	834	611
577	835	610
578	837	608
579	839	607
580	840	606
581	842	604
582	843	603
583	845	602
584	847	600
585	850	600
586	851	599
587	853	597
588	854	596
589	856	595
590	858	593
591	859	592
592	860	590
593	862	589
594	863	587
595	865	586
596	866	585
597	868	583
598	869	582
599	870	580
600	871	578
601	872	577
602	874	575
603	875	574
604	877	572
605	878	571
606	880	569
607	881	568
608	883	566
609	884	565
610	885	563
611	886	562
612	888	560
613	889	559
614	891	557
615	892	556
616	893	554
617	895	553
618	896	552
619	898	550
620	900	549
621	902	548
622	904	547
623	906	546
624	907	544
625	909	543
626	910	541
627	912	540
628	912	538
629	914	536
630	915	535
631	916	533
632	918	532
633	919	531
634	921	529
635	922	528
636	924	526
637	926	525
638	928	524
639	929	522
640	931	521
641	933	520
642	934	519
643	936	517
644	937	516
645	939	514
646	940	513
647	941	511
648	943	510
649	944	508
650	946	507
651	948	506
652	949	504
653	951	503
654	951	501
655	953	500
656	955	498
657	956	497
658	959	496
659	961	495
660	963	494
661	965	493
662	967	491
663	969	490
664	971	489
665	972	487
666	974	486
667	976	485
668	978	484
669	980	482
670	982	481
671	984	480
672	986	479
673	991	479
674	993	478
675	995	477
676	997	475
677	999	474
678	1000	473
679	1002	471
680	1003	470
681	1005	468
682	1007	467
683	1009	466
684	1010	464
685	1012	463
686	1013	461
687	1014	460
688	1016	458
689	1017	457
690	1019	455
691	1020	454
692	1022	452
693	1023	451
694	1024	449
695	1025	447
696	1027	446
697	1028	445
698	1030	443
699	1032	442
700	1033	440
701	1035	439
702	1036	437
703	1037	436
704	1039	434
705	1040	433
706	1041	431
707	1043	430
708	1045	428
709	1046	427
710	1047	425
711	1049	424
712	1050	422
713	1052	421
714	1053	419
715	1054	418
716	1056	416
717	1057	415
718	1059	413
719	1060	412
720	1061	410
721	1063	409
722	1064	407
723	1065	406
724	1067	404
725	1068	403
726	1069	401
727	1070	399
728	1071	398
729	1073	396
730	1074	395
731	1076	393
732	1077	392
733	1078	390
734	1080	389
735	1081	387
736	1082	386
737	1084	384
738	1085	383
739	1086	381
740	1088	380
741	1089	378
742	1091	377
743	1092	375
744	1094	374
745	1095	373
746	1096	371
747	1098	370
748	1099	368
749	1101	367
750	1102	365
751	1103	364
752	1105	362
753	1106	361
754	1108	359
755	1109	358
756	1110	356
757	1112	355
758	1114	353
759	1115	352
760	1116	350
761	1118	349
762	1119	347
763	1121	346
764	1122	344
765	1123	343
766	1125	341
767	1126	340
768	1127	338
769	1129	337
770	1130	335
771	1131	334
772	1133	332
773	1134	331
774	1136	329
775	1137	328
776	1139	326
777	1140	325
778	1141	323
779	1143	322
780	1144	320
781	1145	319
782	1147	318
783	1148	316
784	1150	315
785	1151	313
786	1152	312
787	1154	310
788	1155	309
789	1157	307
790	1158	306
791	1160	304
792	1161	303
793	1162	301
794	1164	300
795	1165	298
796	1167	297
797	1168	295
798	1170	294
799	1171	292
800	1172	291
801	1174	289
802	1175	288
803	1177	287
804	1178	285
805	1180	284
806	1181	282
807	1183	281
808	1184	279
809	1185	278
810	1187	276
811	1188	275
812	1190	273
813	1191	272
814	1192	270
815	1194	269
816	1196	267
817	1197	266
818	1198	264
819	1199	263
820	1200	261
821	1202	260
822	1203	258
823	1205	257
824	1207	256
825	1209	254
826	1210	253
827	1211	251
828	1213	250
829	1214	248
830	1216	247
831	1217	245
832	1219	244
833	1221	243
834	1222	241
835	1224	240
836	1225	238
837	1226	237
838	1228	235
839	1229	234
840	1230	232
841	1232	231
842	1233	229
843	1235	228
844	1236	226
845	1237	225
846	1238	223
847	1240	222
848	1241	220
849	1243	219
850	1244	217
851	1246	216
852	1247	214
853	1248	213
854	1250	212
855	1251	210
856	1252	209
857	1254	207
858	1255	206
859	1257	204
860	1258	203
861	1260	201
862	1261	200
863	1262	198
864	1264	197
865	1265	195
866	1267	194
867	1268	192
868	1270	191
869	1271	190
870	1273	188
871	1274	187
872	1276	185
873	1277	184
874	1279	182
875	1280	181
876	1282	179
877	1283	178
878	1285	176
879	1286	175
880	1288	173
881	1289	172
882	1291	171
883	1292	169
884	1294	168
885	1295	166
886	1297	165
887	1298	163
888	1300	162
889	1301	160
890	1302	159
891	1303	157
892	1305	156
893	1306	154
894	1307	153
895	1309	151
896	1310	150
897	1311	148
898	1313	147
899	1314	146
900	1315	144
901	1316	143
902	1317	141
903	1319	140
904	1320	138
905	1321	137
906	1322	135
907	1324	134
908	1325	132
909	1326	131
910	1328	129
911	1329	128
912	1331	126
913	1332	125
914	1333	123
915	1335	122
916	1336	120
917	1337	119
918	1339	118
919	1340	116
920	1342	115
921	1343	113
922	1344	112
923	1346	110
924	1347	109
925	1348	107
926	1350	106
927	1351	104
928	1353	103
929	1354	101
930	1356	100
931	1357	99
932	1358	97
933	1360	96
934	1361	94
935	1363	93
936	1364	91
937	1365	90
938	1367	88
939	1368	87
940	1370	85
941	1371	84
942	1373	82
943	1374	81
944	1376	80
945	1377	78
946	1378	77
947	1380	75
948	1381	74
949	1382	72
950	1384	71
951	1385	69
952	1386	68
953	1388	66
954	1389	65
955	1391	64
956	1392	62
957	1394	61
958	1396	59
959	1397	58
960	1402	56
961	1404	55
962	1406	54
963	1408	52
964	1410	51
965	1412	49
966	1414	48
967	1416	46
968	1417	45
969	1419	43
970	1420	42
971	1422	40
972	1424	39
973	1426	38
974	1428	36
975	1429	35
976	1430	33
977	1432	32
978	1434	30
979	1436	29
980	1437	27
981	1439	26
982	1440	24
983	1442	23
984	1443	21
985	1445	20
986	1447	19
987	1448	17
988	1449	16
989	1451	14
990	1452	13
991	1454	11
992	1455	10
993	1456	8
994	1458	7
995	1459	5
996	1461	4
997	1462	2
998	1464	1
999	1465	0
